term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
low-contributors,13,10,0.42798253562630606,1.0179561600677849
advantage,23,20,0.3057022929028488,1.0001044202395992
impact,4,2,0.8562778585460897,0.9908015644690927
goals,4,2,0.8562778585460897,0.9908015644690927
flexibility,4,2,0.8562778585460897,0.9908015644690927
receive,4,2,0.8562778585460897,0.9908015644690927
demonstrate,4,2,0.8562778585460897,0.9908015644690927
around,4,2,0.8562778585460897,0.9908015644690927
expected,5,3,0.6751327982408579,0.925772195911599
amount,145,154,0.1066726130300335,0.9218839452476659
benefits,6,4,0.5702860946940689,0.8844399346973919
little,19,17,0.2770197390683613,0.8300076149633469
expect,9,7,0.41669685245500787,0.8273901923747057
stability,11,0,7.170485575096419,0.7167231440336091
minimizing,2,1,0.8536877821694073,0.699929519161388
options,2,1,0.8536877821694073,0.699929519161388
risk,2,1,0.8536877821694073,0.699929519161388
strategy-institution,2,1,0.8536877821694073,0.699929519161388
received,2,1,0.8536877821694073,0.699929519161388
norm,2,1,0.8536877821694073,0.699929519161388
reputation,2,1,0.8536877821694073,0.699929519161388
see,2,1,0.8536877821694073,0.699929519161388
good,2,1,0.8536877821694073,0.699929519161388
observe,2,1,0.8536877821694073,0.699929519161388
collective,9,0,6.969811881405115,0.6965947277902336
long-term,8,0,6.852065179305389,0.6847791985762675
individual,8,0,6.852065179305389,0.6847791985762675
much,7,0,6.7186097381948295,0.6713822698229602
observed,18,17,0.22287924524836633,0.659205118339203
capacity,6,0,6.564594415099468,0.6559139828021248
fiscal,6,0,6.564594415099468,0.6559139828021248
within,5,0,6.382503221531814,0.6376142977578811
approach,3,2,0.5693243568219817,0.6250131893126971
set,4,0,6.159756198112727,0.615209003932637
historically,4,0,6.159756198112727,0.615209003932637
outcomes,4,0,6.159756198112727,0.615209003932637
climate,371,420,0.04293210414966886,0.6025749386057084
contributor,4,3,0.4523857748217708,0.5931927278264635
justify,4,3,0.4523857748217708,0.5931927278264635
influence,3,0,5.872802696388619,0.5863071450769888
either,3,0,5.872802696388619,0.5863071450769888
simple,3,0,5.872802696388619,0.5863071450769888
exceptions,3,0,5.872802696388619,0.5863071450769888
strong,3,0,5.872802696388619,0.5863071450769888
ride,3,0,5.872802696388619,0.5863071450769888
example,3,0,5.872802696388619,0.5863071450769888
already,3,0,5.872802696388619,0.5863071450769888
optimal,9,8,0.28325702776251305,0.5832833363973238
punishment,5,4,0.38819490112641475,0.579345458910055
free-riders,8,7,0.2989501503552816,0.5780149573852786
usd,6,5,0.3475546788354862,0.574497894153647
budget,23,23,0.1657449269087401,0.5621905691647551
strict,2,0,5.468895011004638,0.5455341347017035
defector,2,0,5.468895011004638,0.5455341347017035
substantial,2,0,5.468895011004638,0.5455341347017035
full,2,0,5.468895011004638,0.5455341347017035
trust,2,0,5.468895011004638,0.5455341347017035
costs,2,0,5.468895011004638,0.5455341347017035
beneficial,2,0,5.468895011004638,0.5455341347017035
funds,2,0,5.468895011004638,0.5455341347017035
inclusion,2,0,5.468895011004638,0.5455341347017035
interaction,2,0,5.468895011004638,0.5455341347017035
goal,2,0,5.468895011004638,0.5455341347017035
identified,2,0,5.468895011004638,0.5455341347017035
over-contributing,2,0,5.468895011004638,0.5455341347017035
inspection,2,0,5.468895011004638,0.5455341347017035
funding,2,0,5.468895011004638,0.5455341347017035
emerged,2,0,5.468895011004638,0.5455341347017035
insufficient,2,0,5.468895011004638,0.5455341347017035
explore,2,0,5.468895011004638,0.5455341347017035
myself,2,0,5.468895011004638,0.5455341347017035
many,1,0,4.780608301562732,0.47571162267083594
well-being,1,0,4.780608301562732,0.47571162267083594
population,1,0,4.780608301562732,0.47571162267083594
defection,1,0,4.780608301562732,0.47571162267083594
respond,1,0,4.780608301562732,0.47571162267083594
meaningfully,1,0,4.780608301562732,0.47571162267083594
initiative,1,0,4.780608301562732,0.47571162267083594
consequences,1,0,4.780608301562732,0.47571162267083594
focusing,1,0,4.780608301562732,0.47571162267083594
effect,1,0,4.780608301562732,0.47571162267083594
doing,1,0,4.780608301562732,0.47571162267083594
exceeding,1,0,4.780608301562732,0.47571162267083594
incentivizing,1,0,4.780608301562732,0.47571162267083594
norms,1,0,4.780608301562732,0.47571162267083594
directly,1,0,4.780608301562732,0.47571162267083594
financial,1,0,4.780608301562732,0.47571162267083594
levels,1,0,4.780608301562732,0.47571162267083594
lack,1,0,4.780608301562732,0.47571162267083594
budgets,1,0,4.780608301562732,0.47571162267083594
fair,1,0,4.780608301562732,0.47571162267083594
self-focused,1,0,4.780608301562732,0.47571162267083594
affects,1,0,4.780608301562732,0.47571162267083594
conclude,1,0,4.780608301562732,0.47571162267083594
presence,1,0,4.780608301562732,0.47571162267083594
position,1,0,4.780608301562732,0.47571162267083594
potentially,1,0,4.780608301562732,0.47571162267083594
burden,1,0,4.780608301562732,0.47571162267083594
decisions,1,0,4.780608301562732,0.47571162267083594
initially,1,0,4.780608301562732,0.47571162267083594
gain,1,0,4.780608301562732,0.47571162267083594
stand,1,0,4.780608301562732,0.47571162267083594
playing,1,0,4.780608301562732,0.47571162267083594
valid,1,0,4.780608301562732,0.47571162267083594
reason,1,0,4.780608301562732,0.47571162267083594
interest,1,0,4.780608301562732,0.47571162267083594
guidance,1,0,4.780608301562732,0.47571162267083594
established,1,0,4.780608301562732,0.47571162267083594
earn,1,0,4.780608301562732,0.47571162267083594
shows,1,0,4.780608301562732,0.47571162267083594
5-10,1,0,4.780608301562732,0.47571162267083594
ensure,1,0,4.780608301562732,0.47571162267083594
precedent,1,0,4.780608301562732,0.47571162267083594
low-contrib,1,0,4.780608301562732,0.47571162267083594
account,1,0,4.780608301562732,0.47571162267083594
mutual,1,0,4.780608301562732,0.47571162267083594
distrusted,1,0,4.780608301562732,0.47571162267083594
necessarily,1,0,4.780608301562732,0.47571162267083594
depletes,1,0,4.780608301562732,0.47571162267083594
inference,1,0,4.780608301562732,0.47571162267083594
desire,1,0,4.780608301562732,0.47571162267083594
leave,1,0,4.780608301562732,0.47571162267083594
allow,1,0,4.780608301562732,0.47571162267083594
supporting,1,0,4.780608301562732,0.47571162267083594
pressures,1,0,4.780608301562732,0.47571162267083594
left,1,0,4.780608301562732,0.47571162267083594
often,1,0,4.780608301562732,0.47571162267083594
takes,1,0,4.780608301562732,0.47571162267083594
varying,1,0,4.780608301562732,0.47571162267083594
through,1,0,4.780608301562732,0.47571162267083594
opportunities,1,0,4.780608301562732,0.47571162267083594
consistently,1,0,4.780608301562732,0.47571162267083594
observing,1,0,4.780608301562732,0.47571162267083594
labeled,1,0,4.780608301562732,0.47571162267083594
according,1,0,4.780608301562732,0.47571162267083594
similarly,1,0,4.780608301562732,0.47571162267083594
individualism,1,0,4.780608301562732,0.47571162267083594
snowdrift,1,0,4.780608301562732,0.47571162267083594
excessive,1,0,4.780608301562732,0.47571162267083594
determined,1,0,4.780608301562732,0.47571162267083594
