run,source_file,round_number,agent_id,agent_group,institution_choice,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,15,developing,SFI,225190.17142857146,0.0,225190.17142857146,944386.6285714286,944386.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,16,developing,SFI,425190.17142857146,0.0,425190.17142857146,1280626.6285714286,1280626.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,17,developing,SFI,399780.17142857146,0.0,399780.17142857146,848916.6285714286,848916.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,18,developed,SI,2991154.0666666664,92.0,2991246.0666666664,9004744.200000001,9004744.200000001
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,19,developed,SI,-3844792.9333333336,-10.0,-3844237.9333333336,7318908.199999999,7318908.199999999
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,20,developed,SI,5155207.066666666,-1577.0,5153630.066666666,14990107.2,14990107.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,21,developed,SI,-1844792.9333333336,-7.0,-1844234.9333333336,9303682.2,9303682.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,22,developed,SI,2155207.0666666664,-3879.0,2151328.0666666664,14488558.2,14488558.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,23,developing,SFI,225190.17142857146,0.0,225190.17142857146,904590.6285714286,904590.6285714286
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,24,developed,SI,2155207.0666666664,1555.0,2156762.0666666664,9319157.2,9319157.2
