seed,round_number,institution_choice,n,mean_prop,median_prop,std_prop,mean_contribution,mean_wealth
seed1,19,SI,12,0.21642676531129687,0.2220879538426234,0.11015150438981598,17622849.666666668,91463635.00000001
seed1,20,SI,12,0.19071695402613287,0.1943046632469975,0.1075700553677889,16787164.333333332,101531983.43333335
seed1,21,SI,12,0.19298362731506058,0.16869051466284068,0.1559845091492986,17106366.5,111790559.50000006
seed1,22,SI,12,0.36678124615447305,0.16180046904019624,0.7125849348453606,26300223.666666668,127567775.2
seed1,23,SI,12,0.3660837836194311,0.1193858571045065,0.7818989970500132,23184853.083333332,141474936.38333336
seed1,24,SI,12,0.17608896795869575,0.051750144900244446,0.206395408810923,16104366.666666666,150567987.71666673
seed1,25,SI,12,0.1265476536377884,0.06358313093690851,0.15607061045906145,13290009.083333334,158537062.66666672
seed1,26,SI,12,0.404392786604401,0.0695865020389354,1.024849800341955,25409309.083333332,173773753.6166667
seed1,27,SI,12,0.4070093029293161,0.10257890442370049,0.915106894421226,30708733.333333332,191743714.45000002
seed1,28,SI,12,0.1843636709581018,0.0483408223895126,0.2035400354618961,19398163.583333332,203373231.76666677
seed1,29,SI,12,0.06254866205524943,0.0453115183853211,0.05153416088898483,11260081.5,210119927.16666663
seed1,30,SI,12,0.061123324653891496,0.050638274986691004,0.04137615112735581,10740325.083333334,216564039.8833334
seed2,1,ALL,26,0.3491524663659086,0.02401224507334105,0.6769702978723208,1301006.5384615385,3085531.5384615385
seed2,2,ALL,26,0.37994796341155407,0.2677873817634092,0.48271314673836313,904936.4230769231,3627887.3923076917
seed2,3,ALL,26,0.4477168749796894,0.14002301854647875,0.9075915218009523,1533634.7307692308,4547083.846153847
seed2,4,ALL,26,0.49418035824359313,0.2366200468820513,0.7282686404215502,1918633.3461538462,5697437.007692307
seed2,5,ALL,26,0.45314756051987426,0.25161139907671815,0.5386750663463536,2152708.6923076925,6985546.607692308
seed2,6,ALL,26,0.3826731914622339,0.3317632234653553,0.36778781409910627,2430605.153846154,8442515.123076923
seed2,7,ALL,26,0.3991506286184051,0.32383597482474447,0.5176074015346437,3778203.1153846155,10706845.184615385
seed2,8,ALL,26,0.43573161878993105,0.4054450396736289,0.33650950166358373,6411035.038461538,14459271.707692306
seed2,9,ALL,26,0.353996931429272,0.3170315271524638,0.2541616642777498,7260252.384615385,18814351.792307697
seed2,10,ALL,26,0.2925151860165113,0.2772728642902472,0.22741870219746046,8133743.961538462,23687648.400000002
seed2,11,ALL,26,0.4712894016971984,0.22243452738902,0.7688092566990441,8974705.846153846,29071996.676923078
seed2,12,ALL,26,0.41791479302178836,0.27496201170350554,0.6699432901815323,9732011.346153846,34910629.561538465
seed2,13,ALL,26,0.3924996832801822,0.2935210059548211,0.5486789927253234,9656628.538461538,40703591.64615385
seed2,14,ALL,26,0.3313363724085888,0.2826791672675487,0.3480597986382603,12018820.153846154,47912207.85384616
seed2,15,ALL,26,0.33076834186112725,0.22078174698123326,0.5262241321354284,15305317.346153846,57092183.607692316
seed2,16,ALL,26,0.36391784032899077,0.23073125765202296,0.5929555692224315,15529801.0,66409537.97692308
seed2,17,ALL,26,0.460950891256554,0.1548530273892412,0.7376273184360899,22102135.846153848,79669424.56153847
seed2,18,ALL,26,0.20096312048876344,0.05172533980992975,0.2728144997064575,13689071.692307692,87881594.53846154
seed2,19,ALL,26,0.24226401322497063,0.1300120627419099,0.39824804728647983,14631419.346153846,96659991.26153845
seed2,20,ALL,26,0.3415787169884595,0.08864084381439341,0.9013459320889362,9176474.961538462,102164177.0846154
seed2,21,ALL,26,0.34062207257256216,0.1935246019047137,0.4460919026701702,18530613.153846152,113277579.74615386
seed2,22,ALL,26,0.2964972651626142,0.05893699289187655,0.4850776586385513,13276278.307692308,121237089.92307693
seed2,23,ALL,26,0.41984167071527295,0.13914162332990154,0.7680761434497659,31239740.923076924,139980040.63076925
seed2,24,ALL,26,0.2542993833842563,0.0462562664864012,0.5359848283074955,10823490.192307692,146473769.74615386
seed2,25,ALL,26,0.20197151750795225,0.0824921694255696,0.2679954747720807,13953128.807692308,154845617.9538462
seed2,26,ALL,26,0.35011246025111914,0.15167415659066041,0.7343907113674492,23331641.269230768,168844159.90769237
seed2,27,ALL,26,0.510928295583276,0.1105476712163414,0.9176249726750297,50924968.92307692,199398742.9538462
seed2,28,ALL,26,0.20448922265111552,0.1501452899109905,0.21442834371528754,30155533.923076924,217491878.42307693
seed2,29,ALL,26,0.388399437326266,0.14521823441651188,0.7094406626478591,55563257.961538464,250829433.81538466
seed2,30,ALL,26,0.44082990053986015,0.20835559017818905,0.7400551538414353,85866608.0,302348949.4615385
seed2,1,SFI,14,0.3682926710749516,0.02037213697747015,0.8297290943958092,225400.7142857143,556401.857142857
seed2,2,SFI,14,0.3984076707217291,0.05282933297949405,0.6032544204000093,157458.14285714287,650876.742857143
seed2,3,SFI,14,0.42895603857068554,0.1299096745809994,1.104971732430944,147851.42857142858,739587.6
seed2,4,SFI,14,0.5442637288047704,0.1020181788801909,0.9367324185065213,265743.85714285716,899033.9142857142
seed2,5,SFI,14,0.5235250353937558,0.2624072996135448,0.6571455497998505,488493.9285714286,1189880.2714285713
seed2,6,SFI,14,0.3774892728499698,0.3317632234653553,0.3937343708182959,414016.5714285714,1438290.2142857146
seed2,7,SFI,14,0.29383610117177505,0.30234090469858904,0.23753810196770223,420376.78571428574,1690516.2857142861
seed2,8,SFI,14,0.35255773389254325,0.30350835368478535,0.2985841571794171,606381.5,2054345.1857142858
seed2,9,SFI,14,0.26733374205092775,0.2363375166479985,0.21026551190904957,523244.21428571426,2368291.714285715
seed2,10,SFI,14,0.20672105931056423,0.13878583473038034,0.23306419739599352,385127.5,2594868.214285714
seed2,11,SFI,14,0.533248924262199,0.09628008887427746,0.9873371396059484,850434.4285714285,3105128.871428571
seed2,12,SFI,14,0.5227968251215461,0.19218613242393906,0.9003330992937826,1102814.4285714286,3766817.5285714297
seed2,13,SFI,14,0.49698877265544084,0.25963921589244915,0.72939754555411,1303265.4285714286,4548776.785714285
seed2,14,SFI,14,0.3835080282742745,0.38005816690024585,0.46070115017987795,1181907.642857143,5257921.371428572
seed2,15,SFI,14,0.36993261864849547,0.10594992248095685,0.7182475934338851,930320.8571428572,5816113.885714288
seed2,16,SFI,14,0.38469065903746535,0.19546447821048923,0.6998643722508084,1018494.0,6427210.285714285
seed2,17,SFI,14,0.4612511361663307,0.11389519554758354,0.8184954793183917,1347261.2857142857,7235567.0571428565
seed2,18,SFI,14,0.17852179612415922,0.0038180518388865,0.316478618792333,471937.5,7518729.5571428565
