term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
consequences,1,0,4.782597789556031,0.4759095938288719
focusing,1,0,4.782597789556031,0.4759095938288719
guidance,1,0,4.782597789556031,0.4759095938288719
determined,1,0,4.782597789556031,0.4759095938288719
negative,1,0,4.782597789556031,0.4759095938288719
meaningfully,1,0,4.782597789556031,0.4759095938288719
ensure,1,0,4.782597789556031,0.4759095938288719
burden,1,0,4.782597789556031,0.4759095938288719
receive,1,0,4.782597789556031,0.4759095938288719
respond,1,0,4.782597789556031,0.4759095938288719
similarly,1,0,4.782597789556031,0.4759095938288719
demonstrating,1,0,4.782597789556031,0.4759095938288719
far,1,0,4.782597789556031,0.4759095938288719
observing,1,0,4.782597789556031,0.4759095938288719
many,1,0,4.782597789556031,0.4759095938288719
valid,1,0,4.782597789556031,0.4759095938288719
well-being,1,0,4.782597789556031,0.4759095938288719
shows,1,0,4.782597789556031,0.4759095938288719
reason,1,0,4.782597789556031,0.4759095938288719
selfish-institutional,1,0,4.782597789556031,0.4759095938288719
free-ride,1,0,4.782597789556031,0.4759095938288719
account,1,0,4.782597789556031,0.4759095938288719
necessarily,1,0,4.782597789556031,0.4759095938288719
players,1,0,4.782597789556031,0.4759095938288719
gain,1,0,4.782597789556031,0.4759095938288719
established,1,0,4.782597789556031,0.4759095938288719
earn,1,0,4.782597789556031,0.4759095938288719
mostly,1,0,4.782597789556031,0.4759095938288719
precedent,1,0,4.782597789556031,0.4759095938288719
depletes,1,0,4.782597789556031,0.4759095938288719
still,1,0,4.782597789556031,0.4759095938288719
correlate,1,0,4.782597789556031,0.4759095938288719
exceeding,1,0,4.782597789556031,0.4759095938288719
desire,1,0,4.782597789556031,0.4759095938288719
allow,1,0,4.782597789556031,0.4759095938288719
leave,1,0,4.782597789556031,0.4759095938288719
lack,1,0,4.782597789556031,0.4759095938288719
doing,1,0,4.782597789556031,0.4759095938288719
effect,1,0,4.782597789556031,0.4759095938288719
level,13,13,0.1677334847460994,0.427802600497566
global,6,6,0.16745823456755105,0.29028777493216146
history,19,21,0.06750478270861571,0.21325542409123668
free-rider,3,3,0.16734054719723446,0.20529077523865052
fund,3,3,0.16734054719723446,0.20529077523865052
commitment,3,3,0.16734054719723446,0.20529077523865052
investment,3,3,0.16734054719723446,0.20529077523865052
without,2,2,0.16730135491046028,0.1677190867839739
size,2,2,0.16730135491046028,0.1677190867839739
trend,2,2,0.16730135491046028,0.1677190867839739
high-contributor,2,2,0.16730135491046028,0.1677190867839739
necessary,2,2,0.16730135491046028,0.1677190867839739
less,2,2,0.16730135491046028,0.1677190867839739
pattern,2,2,0.16730135491046028,0.1677190867839739
multiplier,1,1,0.1672621810203534,0.11886211249107581
overextending,1,1,0.1672621810203534,0.11886211249107581
payouts,1,1,0.1672621810203534,0.11886211249107581
prioritize,1,1,0.1672621810203534,0.11886211249107581
role,1,1,0.1672621810203534,0.11886211249107581
overall,1,1,0.1672621810203534,0.11886211249107581
shift,1,1,0.1672621810203534,0.11886211249107581
since,1,1,0.1672621810203534,0.11886211249107581
preserving,1,1,0.1672621810203534,0.11886211249107581
best,1,1,0.1672621810203534,0.11886211249107581
sufficient,1,1,0.1672621810203534,0.11886211249107581
fraction,1,1,0.1672621810203534,0.11886211249107581
effort,1,1,0.1672621810203534,0.11886211249107581
likely,1,1,0.1672621810203534,0.11886211249107581
waters,1,1,0.1672621810203534,0.11886211249107581
seen,1,1,0.1672621810203534,0.11886211249107581
standing,1,1,0.1672621810203534,0.11886211249107581
situation,1,1,0.1672621810203534,0.11886211249107581
indicate,1,1,0.1672621810203534,0.11886211249107581
consider,1,1,0.1672621810203534,0.11886211249107581
returns,1,1,0.1672621810203534,0.11886211249107581
