term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
contribution marginal,5,3,0.6768363897229346,0.9281082365119192
contribution similar,5,3,0.6768363897229346,0.9281082365119192
beliefs choose,7,5,0.5032792794406031,0.8602698224311249
peer data,7,5,0.5032792794406031,0.8602698224311249
return low,7,5,0.5032792794406031,0.8602698224311249
self-interest cooperate,41,0,8.490954327426241,0.8489919286972901
contribution reward,8,6,0.4546619822067921,0.8424965444107159
high mcpr,20,18,0.2729229926068637,0.8402615079635255
peers contribution,9,7,0.41841182051915915,0.8307954202955664
amount advantage,18,16,0.28529458880071346,0.8305750904786013
balance self-interest,25,0,7.9944902368147615,0.7992892457197162
mostly group,13,0,7.339492287517301,0.7336673200688697
institution credibility,12,0,7.259393683285919,0.7256373340453586
self-interested strategy,12,0,7.259393683285919,0.7256373340453586
cooperate self-interest,11,0,7.172338064515501,0.7169083089051969
risk punishment,2,1,0.8553682167440613,0.7013072895692423
mostly use,2,1,0.8553682167440613,0.7013072895692423
experience peer,2,1,0.8553682167440613,0.7013072895692423
maximize stage,2,1,0.8553682167440613,0.7013072895692423
significant payoffs,2,1,0.8553682167440613,0.7013072895692423
contribution million,2,1,0.8553682167440613,0.7013072895692423
budget marginal,2,1,0.8553682167440613,0.7013072895692423
fund considering,2,1,0.8553682167440613,0.7013072895692423
data choose,2,1,0.8553682167440613,0.7013072895692423
past peer,2,1,0.8553682167440613,0.7013072895692423
contributors free-riders,2,1,0.8553682167440613,0.7013072895692423
around amount,2,1,0.8553682167440613,0.7013072895692423
contribution except,2,1,0.8553682167440613,0.7013072895692423
significantly emissions,2,1,0.8553682167440613,0.7013072895692423
strategy maximize,2,1,0.8553682167440613,0.7013072895692423
balance interests,2,1,0.8553682167440613,0.7013072895692423
beliefs previous-round,2,1,0.8553682167440613,0.7013072895692423
strategy-institution framework,2,1,0.8553682167440613,0.7013072895692423
following high-contributor,2,1,0.8553682167440613,0.7013072895692423
reward significant,2,1,0.8553682167440613,0.7013072895692423
optimal maximize,2,1,0.8553682167440613,0.7013072895692423
potential benefits,2,1,0.8553682167440613,0.7013072895692423
sfi contribution,2,1,0.8553682167440613,0.7013072895692423
previous member,2,1,0.8553682167440613,0.7013072895692423
high-contributor strategy,2,1,0.8553682167440613,0.7013072895692423
suggest cooperate,2,1,0.8553682167440613,0.7013072895692423
made significant,2,1,0.8553682167440613,0.7013072895692423
payoff align,2,1,0.8553682167440613,0.7013072895692423
strategy follow,2,1,0.8553682167440613,0.7013072895692423
contribution align,2,1,0.8553682167440613,0.7013072895692423
maintaining consistent,2,1,0.8553682167440613,0.7013072895692423
optimal due,2,1,0.8553682167440613,0.7013072895692423
budget choose,2,1,0.8553682167440613,0.7013072895692423
significant risk,2,1,0.8553682167440613,0.7013072895692423
behavior internal,2,1,0.8553682167440613,0.7013072895692423
between cooperate,9,0,6.971629361718381,0.6967763750463756
balances self-interest,9,0,6.971629361718381,0.6967763750463756
strategy high,9,0,6.971629361718381,0.6967763750463756
follow self-interested,9,0,6.971629361718381,0.6967763750463756
self-interest considering,8,0,6.853865160901839,0.6849590844826059
contribute previous,7,0,6.7203922249634624,0.6715603914968314
considering potential,7,0,6.7203922249634624,0.6715603914968314
climate stability,7,0,6.7203922249634624,0.6715603914968314
advantage high,18,17,0.22460519645248667,0.6643099268488154
between self-interest,6,0,6.566359410927983,0.6560903357297097
